flowcell	kit	preset_model	ont_model
FLO-MIN111	SQK-PSK004	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAD002	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAD003	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAD004	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAS201	_	dna_r10.3_450bps
FLO-MIN111	SQK-RLI001	_	dna_r10.3_450bps
FLO-MIN111	SQK-ULK001	_	dna_r10.3_450bps
FLO-MIN111	VSK-VBK001	_	dna_r10.3_450bps
FLO-MIN111	VSK-VSK001	_	dna_r10.3_450bps
FLO-MIN111	VSK-VSK003	_	dna_r10.3_450bps
FLO-MIN111	SQK-16S024	_	dna_r10.3_450bps
FLO-MIN111	SQK-PCB109	_	dna_r10.3_450bps
FLO-MIN111	SQK-PCB110	_	dna_r10.3_450bps
FLO-MIN111	SQK-RBK001	_	dna_r10.3_450bps
FLO-MIN111	SQK-RBK004	_	dna_r10.3_450bps
FLO-MIN111	SQK-RBK110-96	_	dna_r10.3_450bps
FLO-MIN111	SQK-RLB001	_	dna_r10.3_450bps
FLO-MIN111	SQK-LWB001	_	dna_r10.3_450bps
FLO-MIN111	SQK-PBK004	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAB201	_	dna_r10.3_450bps
FLO-MIN111	SQK-RAB204	_	dna_r10.3_450bps
FLO-MIN111	SQK-RPB004	_	dna_r10.3_450bps
FLO-MIN111	VSK-PTC001	_	dna_r10.3_450bps
FLO-MIN111	VSK-VMK001	_	dna_r10.3_450bps
FLO-MIN114	SQK-LSK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-LSK114-XL	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-ULK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-RAD114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-MIN114	SQK-NBD114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
